id,tweet_id,inbound_text,outbound_text,intent
0,100000,Help please! My Apple ID is disabled in the App Store and iTunes. How do I fix this?,An account disabled in App Store/iTunes usually relates to a billing review. Please visit https://getsupport.apple.com to connect securely with our account safety team.,ACCOUNT_SECURITY
1,100001,Anyone having this issue? My Apple ID is disabled in the App Store and iTunes. How do I fix this?,An account disabled in App Store/iTunes usually relates to a billing review. Please visit https://getsupport.apple.com to connect securely with our account safety team.,ACCOUNT_SECURITY
2,100002,Question for @AppleSupport: Someone tried to sign into my Apple ID from another city and I got a 2FA notification!,"Thanks for flagging. If you didn't initiate this sign-in, tap 'Don't Allow' immediately and change your Apple ID password at https://appleid.apple.com to secure your account.",ACCOUNT_SECURITY
3,100003,Help please! My Apple ID has been locked for security reasons and I can't access my purchases!,"We understand how concerning this is. If your account is locked, please visit https://iforgot.apple.com to unlock it with your trusted phone number or email.",ACCOUNT_SECURITY
4,100004,"Hey @AppleSupport, Received a suspicious text claiming my iCloud has been suspended with a weird link.",This sounds like a phishing attempt. Apple never sends SMS links asking for credentials. Please forward the message to reportphishing@apple.com and do not click any links.,ACCOUNT_SECURITY
5,100005,@AppleSupport My Apple ID has been locked for security reasons and I can't access my purchases!,"We understand how concerning this is. If your account is locked, please visit https://iforgot.apple.com to unlock it with your trusted phone number or email.",ACCOUNT_SECURITY
6,100006,"Hey @AppleSupport, I got an alert saying two-factor authentication was requested on a new Mac in another country.","Safety first! Select 'Don't Allow' on the prompt. Next, visit https://appleid.apple.com immediately to review trusted devices and change your password.",ACCOUNT_SECURITY
7,100007,Can someone assist me? Someone tried to sign into my Apple ID from another city and I got a 2FA notification!,"Thanks for flagging. If you didn't initiate this sign-in, tap 'Don't Allow' immediately and change your Apple ID password at https://appleid.apple.com to secure your account.",ACCOUNT_SECURITY
8,100008,Anyone having this issue? Received a suspicious text claiming my iCloud has been suspended with a weird link.,This sounds like a phishing attempt. Apple never sends SMS links asking for credentials. Please forward the message to reportphishing@apple.com and do not click any links.,ACCOUNT_SECURITY
9,100009,Question for @AppleSupport: My Apple ID has been locked for security reasons and I can't access my purchases!,"We understand how concerning this is. If your account is locked, please visit https://iforgot.apple.com to unlock it with your trusted phone number or email.",ACCOUNT_SECURITY
10,100010,Need help ASAP! Received a suspicious text claiming my iCloud has been suspended with a weird link.,This sounds like a phishing attempt. Apple never sends SMS links asking for credentials. Please forward the message to reportphishing@apple.com and do not click any links.,ACCOUNT_SECURITY
11,100011,@AppleSupport Someone tried to sign into my Apple ID from another city and I got a 2FA notification!,"Thanks for flagging. If you didn't initiate this sign-in, tap 'Don't Allow' immediately and change your Apple ID password at https://appleid.apple.com to secure your account.",ACCOUNT_SECURITY
12,100012,Help please! Forgot my Apple ID password and lost access to my recovery phone number. What do I do?,You will need to start Account Recovery at https://iforgot.apple.com. This automated process evaluates your identity and may take a few days for security reasons.,ACCOUNT_SECURITY
13,100013,Help please! Received a suspicious text claiming my iCloud has been suspended with a weird link.,This sounds like a phishing attempt. Apple never sends SMS links asking for credentials. Please forward the message to reportphishing@apple.com and do not click any links.,ACCOUNT_SECURITY
14,100014,Anyone having this issue? Forgot my Apple ID password and lost access to my recovery phone number. What do I do?,You will need to start Account Recovery at https://iforgot.apple.com. This automated process evaluates your identity and may take a few days for security reasons.,ACCOUNT_SECURITY
15,100015,My Apple ID has been locked for security reasons and I can't access my purchases!,"We understand how concerning this is. If your account is locked, please visit https://iforgot.apple.com to unlock it with your trusted phone number or email.",ACCOUNT_SECURITY
16,100016,Can someone assist me? My Apple ID has been locked for security reasons and I can't access my purchases!,"We understand how concerning this is. If your account is locked, please visit https://iforgot.apple.com to unlock it with your trusted phone number or email.",ACCOUNT_SECURITY
17,100017,Anyone having this issue? I got an alert saying two-factor authentication was requested on a new Mac in another country.,"Safety first! Select 'Don't Allow' on the prompt. Next, visit https://appleid.apple.com immediately to review trusted devices and change your password.",ACCOUNT_SECURITY
18,100018,Need help ASAP! My Apple ID is disabled in the App Store and iTunes. How do I fix this?,An account disabled in App Store/iTunes usually relates to a billing review. Please visit https://getsupport.apple.com to connect securely with our account safety team.,ACCOUNT_SECURITY
19,100019,Help please! Someone tried to sign into my Apple ID from another city and I got a 2FA notification!,"Thanks for flagging. If you didn't initiate this sign-in, tap 'Don't Allow' immediately and change your Apple ID password at https://appleid.apple.com to secure your account.",ACCOUNT_SECURITY
20,100020,@AppleSupport My Apple ID is disabled in the App Store and iTunes. How do I fix this?,An account disabled in App Store/iTunes usually relates to a billing review. Please visit https://getsupport.apple.com to connect securely with our account safety team.,ACCOUNT_SECURITY
21,100021,Help please! Forgot my Apple ID password and lost access to my recovery phone number. What do I do?,You will need to start Account Recovery at https://iforgot.apple.com. This automated process evaluates your identity and may take a few days for security reasons.,ACCOUNT_SECURITY
22,100022,Help please! Someone tried to sign into my Apple ID from another city and I got a 2FA notification!,"Thanks for flagging. If you didn't initiate this sign-in, tap 'Don't Allow' immediately and change your Apple ID password at https://appleid.apple.com to secure your account.",ACCOUNT_SECURITY
23,100023,Forgot my Apple ID password and lost access to my recovery phone number. What do I do?,You will need to start Account Recovery at https://iforgot.apple.com. This automated process evaluates your identity and may take a few days for security reasons.,ACCOUNT_SECURITY
